Game Title;User Rating;Age Group Targeted;Price;Platform;Requires Special Device;Developer;Publisher;Release Year;Genre;Multiplayer;Game Length (Hours);Graphics Quality;Soundtrack Quality;Story Quality;User Review Text;Game Mode;Min Number of Players
Half-Life: Alyx;30.1;Adults;55.49;PlayStation;Yes;Game Freak;Epic Games;2022;RPG;Yes;13.2;High;Poor;Good;Great game, but too many bugs.;Offline;1
Street Fighter V;37.4;All Ages;58.01;PlayStation;No;Game Freak;Epic Games;2010;Fighting;Yes;29.2;Medium;Average;Average;Solid game, but too many bugs.;Offline;5
Rocket League;28.6;Kids;52.91;PlayStation;No;Epic Games;Valve;2012;Party;No;7.0;Low;Poor;Poor;Solid game, but the gameplay is amazing.;Offline;2
The Legend of Zelda: Breath of the Wild;31.4;Adults;29.05;PlayStation;No;Nintendo;Innersloth;2013;Adventure;No;55.6;Medium;Excellent;Excellent;Amazing game, but too many bugs.;Offline;5
Overwatch 2;31.8;All Ages;54.21;PlayStation;Yes;Capcom;Valve;2014;Shooter;No;16.1;Ultra;Average;Excellent;Disappointing game, but too many bugs.;Online;4
Sid Meier’s Civilization VI;30.2;All Ages;45.46;PlayStation;No;Bungie;Valve;2020;Adventure;No;26.4;Low;Poor;Poor;Solid game, but the gameplay is amazing.;Offline;5
Overwatch 2;33.0;All Ages;57.97;PlayStation;No;Valve;Nintendo;2017;Fighting;Yes;12.2;High;Average;Good;Disappointing game, but the gameplay is amazing.;Offline;5
Spelunky 2;36.4;Adults;35.69;PlayStation;Yes;Game Freak;Activision;2013;Fighting;Yes;56.9;Ultra;Average;Excellent;Great game, but too many bugs.;Offline;2
Rocket League;32.5;Adults;34.34;PlayStation;Yes;CD Projekt Red;Activision;2023;Action;No;55.8;Low;Average;Average;Solid game, but the graphics could be better.;Offline;2
Super Smash Bros. Ultimate;44.3;All Ages;59.32;PlayStation;No;Nintendo;Square Enix;2010;Party;No;44.5;Medium;Good;Average;Great game, but too many bugs.;Offline;6
The Sims 4;30.6;Teens;39.26;PlayStation;No;CD Projekt Red;Innersloth;2018;RPG;Yes;42.0;Medium;Average;Excellent;Great game, but the graphics could be better.;Online;8
Hades;23.3;Kids;39.48;PlayStation;No;Nintendo;Nintendo;2019;Puzzle;No;13.3;Ultra;Poor;Poor;Solid game, but too many bugs.;Online;4
Halo Infinite;36.6;Adults;55.05;PlayStation;Yes;Epic Games;Activision;2022;Action;No;31.1;Ultra;Poor;Poor;Solid game, but too many bugs.;Offline;4
The Legend of Zelda: Breath of the Wild;29.1;Kids;33.71;PlayStation;No;CD Projekt Red;Epic Games;2018;Strategy;No;41.9;Ultra;Average;Poor;Great game, but the graphics could be better.;Online;4
Ghost of Tsushima;33.9;Kids;40.54;PlayStation;No;Rockstar Games;Capcom;2019;RPG;Yes;50.9;Medium;Good;Poor;Disappointing game, but the gameplay is amazing.;Offline;10
Mario Kart 8 Deluxe;22.5;Kids;23.29;PlayStation;No;Valve;Electronic Arts;2015;Shooter;No;38.0;Medium;Poor;Poor;Solid game, but the graphics could be better.;Offline;1
Cuphead;24.6;Kids;32.69;PlayStation;No;Innersloth;Electronic Arts;2023;Shooter;No;28.5;Ultra;Poor;Poor;Amazing game, but too many bugs.;Offline;7
The Witcher 3: Wild Hunt;28.6;All Ages;40.75;PlayStation;Yes;EA Sports;Activision;2011;Puzzle;No;27.0;Medium;Average;Excellent;Disappointing game, but the gameplay is amazing.;Offline;6
